"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
8 Sep 2021 04:00:00.000,51.936,-85.156,1013.218096,-0.005695,0.087607,-0.002067
8 Sep 2021 04:01:00.000,51.467,-79.951,1013.047448,-0.009909,0.085731,-0.003611
8 Sep 2021 04:02:00.000,50.750,-74.884,1012.785584,-0.013930,0.082998,-0.005102
8 Sep 2021 04:03:00.000,49.799,-70.003,1012.436218,-0.017700,0.079600,-0.006522
8 Sep 2021 04:04:00.000,48.630,-65.340,1012.004309,-0.021180,0.075749,-0.007849
8 Sep 2021 04:05:00.000,47.262,-60.917,1011.495991,-0.024348,0.071648,-0.009064
8 Sep 2021 04:06:00.000,45.713,-56.743,1010.918486,-0.027201,0.067472,-0.010151
8 Sep 2021 04:07:00.000,44.002,-52.819,1010.280004,-0.029748,0.063360,-0.011093
8 Sep 2021 04:08:00.000,42.147,-49.137,1009.589629,-0.032006,0.059416,-0.011878
8 Sep 2021 04:09:00.000,40.164,-45.685,1008.857191,-0.033997,0.055706,-0.012493
8 Sep 2021 04:10:00.000,38.069,-42.447,1008.093125,-0.035746,0.052272,-0.012930
8 Sep 2021 04:11:00.000,35.876,-39.407,1007.308329,-0.037277,0.049133,-0.013182
8 Sep 2021 04:12:00.000,33.597,-36.546,1006.514005,-0.038614,0.046293,-0.013247
8 Sep 2021 04:13:00.000,31.243,-33.847,1005.721503,-0.039778,0.043746,-0.013122
8 Sep 2021 04:14:00.000,28.824,-31.293,1004.942154,-0.040789,0.041482,-0.012809
8 Sep 2021 04:15:00.000,26.348,-28.866,1004.187115,-0.041663,0.039483,-0.012313
8 Sep 2021 04:16:00.000,23.824,-26.551,1003.467201,-0.042416,0.037735,-0.011640
8 Sep 2021 04:17:00.000,21.257,-24.335,1002.792736,-0.043060,0.036220,-0.010801
8 Sep 2021 04:18:00.000,18.655,-22.203,1002.173397,-0.043605,0.034922,-0.009806
8 Sep 2021 04:19:00.000,16.023,-20.142,1001.618078,-0.044061,0.033828,-0.008671
8 Sep 2021 04:20:00.000,13.366,-18.142,1001.134761,-0.044435,0.032924,-0.007411
8 Sep 2021 04:21:00.000,10.689,-16.190,1000.730393,-0.044733,0.032200,-0.006044
8 Sep 2021 04:22:00.000,7.996,-14.277,1000.410792,-0.044960,0.031648,-0.004590
8 Sep 2021 04:23:00.000,5.292,-12.392,1000.180559,-0.045118,0.031261,-0.003070
8 Sep 2021 04:24:00.000,2.580,-10.525,1000.043008,-0.045211,0.031033,-0.001506
8 Sep 2021 04:25:00.000,-0.136,-8.667,1000.000119,-0.045240,0.030963,0.000079
8 Sep 2021 04:26:00.000,-2.851,-6.808,1000.052510,-0.045205,0.031049,0.001664
8 Sep 2021 04:27:00.000,-5.562,-4.940,1000.199427,-0.045106,0.031292,0.003224
8 Sep 2021 04:28:00.000,-8.266,-3.053,1000.438754,-0.044940,0.031696,0.004739
8 Sep 2021 04:29:00.000,-10.957,-1.136,1000.767046,-0.044707,0.032265,0.006185
8 Sep 2021 04:30:00.000,-13.632,0.820,1001.179578,-0.044402,0.033006,0.007541
8 Sep 2021 04:31:00.000,-16.287,2.826,1001.670415,-0.044020,0.033928,0.008790
8 Sep 2021 04:32:00.000,-18.916,4.893,1002.232501,-0.043555,0.035042,0.009912
8 Sep 2021 04:33:00.000,-21.515,7.033,1002.857758,-0.043000,0.036361,0.010892
8 Sep 2021 04:34:00.000,-24.078,9.259,1003.537208,-0.042346,0.037899,0.011715
8 Sep 2021 04:35:00.000,-26.598,11.584,1004.261102,-0.041581,0.039672,0.012371
8 Sep 2021 04:36:00.000,-29.068,14.023,1005.019062,-0.040694,0.041696,0.012849
8 Sep 2021 04:37:00.000,-31.481,16.591,1005.800229,-0.039669,0.043988,0.013143
8 Sep 2021 04:38:00.000,-33.828,19.305,1006.593424,-0.038489,0.046563,0.013249
8 Sep 2021 04:39:00.000,-36.099,22.183,1007.387306,-0.037134,0.049433,0.013166
8 Sep 2021 04:40:00.000,-38.283,25.242,1008.170531,-0.035582,0.052602,0.012894
8 Sep 2021 04:41:00.000,-40.367,28.500,1008.931922,-0.033810,0.056065,0.012439
8 Sep 2021 04:42:00.000,-42.338,31.975,1009.660621,-0.031793,0.059800,0.011807
8 Sep 2021 04:43:00.000,-44.180,35.681,1010.346245,-0.029507,0.063765,0.011006
8 Sep 2021 04:44:00.000,-45.875,39.630,1010.979033,-0.026930,0.067888,0.010049
8 Sep 2021 04:45:00.000,-47.407,43.828,1011.549983,-0.024046,0.072063,0.008949
8 Sep 2021 04:46:00.000,-48.756,48.276,1012.050979,-0.020846,0.076148,0.007721
8 Sep 2021 04:47:00.000,-49.904,52.962,1012.474903,-0.017337,0.079963,0.006384
8 Sep 2021 04:48:00.000,-50.832,57.863,1012.815735,-0.013539,0.083304,0.004956
8 Sep 2021 04:49:00.000,-51.525,62.946,1013.068637,-0.009496,0.085960,0.003458
8 Sep 2021 04:50:00.000,-51.969,68.163,1013.230022,-0.005267,0.087741,0.001911
8 Sep 2021 04:51:00.000,-52.155,73.456,1013.297600,-0.000931,0.088508,0.000337
8 Sep 2021 04:52:00.000,-52.080,78.764,1013.270412,0.003425,0.088198,-0.001242
8 Sep 2021 04:53:00.000,-51.745,84.021,1013.148844,0.007710,0.086836,-0.002803
8 Sep 2021 04:54:00.000,-51.157,89.167,1012.934621,0.011841,0.084533,-0.004325
8 Sep 2021 04:55:00.000,-50.328,94.151,1012.630781,0.015750,0.081459,-0.005785
8 Sep 2021 04:56:00.000,-49.272,98.932,1012.241637,0.019386,0.077820,-0.007163
8 Sep 2021 04:57:00.000,-48.006,103.483,1011.772714,0.022719,0.073827,-0.008439
8 Sep 2021 04:58:00.000,-46.550,107.789,1011.230670,0.025738,0.069670,-0.009596
8 Sep 2021 04:59:00.000,-44.922,111.844,1010.623211,0.028444,0.065510,-0.010616
8 Sep 2021 05:00:00.000,-43.140,115.652,1009.958976,0.030852,0.061467,-0.011485
8 Sep 2021 05:01:00.000,-41.223,119.224,1009.247417,0.032981,0.057627,-0.012191
8 Sep 2021 05:02:00.000,-39.185,122.572,1008.498669,0.034854,0.054044,-0.012722
8 Sep 2021 05:03:00.000,-37.042,125.714,1007.723407,0.036497,0.050748,-0.013073
8 Sep 2021 05:04:00.000,-34.807,128.667,1006.932690,0.037933,0.047751,-0.013237
8 Sep 2021 05:05:00.000,-32.491,131.449,1006.137811,0.039186,0.045051,-0.013211
8 Sep 2021 05:06:00.000,-30.105,134.077,1005.350132,0.040275,0.042640,-0.012997
8 Sep 2021 05:07:00.000,-27.658,136.570,1004.580921,0.041219,0.040503,-0.012597
8 Sep 2021 05:08:00.000,-25.158,138.941,1003.841193,0.042034,0.038625,-0.012016
8 Sep 2021 05:09:00.000,-22.613,141.208,1003.141550,0.042734,0.036989,-0.011263
8 Sep 2021 05:10:00.000,-20.029,143.382,1002.492026,0.043330,0.035579,-0.010348
8 Sep 2021 05:11:00.000,-17.412,145.479,1001.901947,0.043832,0.034379,-0.009285
8 Sep 2021 05:12:00.000,-14.768,147.510,1001.379789,0.044248,0.033377,-0.008088
8 Sep 2021 05:13:00.000,-12.101,149.486,1000.933057,0.044586,0.032559,-0.006775
8 Sep 2021 05:14:00.000,-9.416,151.418,1000.568176,0.044849,0.031918,-0.005365
8 Sep 2021 05:15:00.000,-6.717,153.317,1000.290398,0.045043,0.031445,-0.003877
8 Sep 2021 05:16:00.000,-4.008,155.192,1000.103719,0.045171,0.031133,-0.002334
8 Sep 2021 05:17:00.000,-1.294,157.054,1000.010829,0.045233,0.030981,-0.000757
8 Sep 2021 05:18:00.000,1.422,158.910,1000.013065,0.045231,0.030984,0.000831
8 Sep 2021 05:19:00.000,4.136,160.772,1000.110395,0.045166,0.031144,0.002407
8 Sep 2021 05:20:00.000,6.844,162.648,1000.301416,0.045036,0.031463,0.003949
8 Sep 2021 05:21:00.000,9.542,164.549,1000.583380,0.044839,0.031944,0.005433
8 Sep 2021 05:22:00.000,12.226,166.483,1000.952226,0.044572,0.032594,0.006839
8 Sep 2021 05:23:00.000,14.892,168.461,1001.402649,0.044231,0.033419,0.008147
8 Sep 2021 05:24:00.000,17.536,170.495,1001.928169,0.043810,0.034431,0.009338
8 Sep 2021 05:25:00.000,20.151,172.595,1002.521232,0.043304,0.035640,0.010395
8 Sep 2021 05:26:00.000,22.733,174.773,1003.173321,0.042703,0.037061,0.011302
8 Sep 2021 05:27:00.000,25.277,177.044,1003.875074,0.041998,0.038708,0.012047
8 Sep 2021 05:28:00.000,27.774,179.421,1004.616425,0.041178,0.040598,0.012620
8 Sep 2021 05:29:00.000,30.218,-178.080,1005.386751,0.040227,0.042747,0.013011
8 Sep 2021 05:30:00.000,32.601,-175.445,1006.175022,0.039131,0.045171,0.013217
8 Sep 2021 05:31:00.000,34.914,-172.656,1006.969959,0.037870,0.047885,0.013233
8 Sep 2021 05:32:00.000,37.145,-169.694,1007.760202,0.036425,0.050896,0.013060
8 Sep 2021 05:33:00.000,39.283,-166.543,1008.534466,0.034772,0.054206,0.012701
8 Sep 2021 05:34:00.000,41.316,-163.185,1009.281704,0.032887,0.057801,0.012161
8 Sep 2021 05:35:00.000,43.227,-159.602,1009.991265,0.030746,0.061652,0.011448
8 Sep 2021 05:36:00.000,45.002,-155.782,1010.653043,0.028324,0.065703,0.010571
8 Sep 2021 05:37:00.000,46.622,-151.715,1011.257620,0.025603,0.069866,0.009545
8 Sep 2021 05:38:00.000,48.070,-147.398,1011.796398,0.022570,0.074019,0.008382
