"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
8 Sep 2021 04:00:00.000,-7.122,-143.010,1000.326285,0.045019,0.031505,-0.004104
8 Sep 2021 04:01:00.000,-4.415,-141.132,1000.125758,0.045156,0.031170,-0.002568
8 Sep 2021 04:02:00.000,-1.701,-139.269,1000.018702,0.045228,0.030994,-0.000994
8 Sep 2021 04:03:00.000,1.015,-137.412,1000.006659,0.045236,0.030974,0.000594
8 Sep 2021 04:04:00.000,3.729,-135.552,1000.089802,0.045180,0.031110,0.002173
8 Sep 2021 04:05:00.000,6.439,-133.678,1000.266934,0.045059,0.031405,0.003721
8 Sep 2021 04:06:00.000,9.139,-131.782,1000.535503,0.044872,0.031862,0.005215
8 Sep 2021 04:07:00.000,11.825,-129.854,1000.891645,0.044616,0.032486,0.006635
8 Sep 2021 04:08:00.000,14.494,-127.883,1001.330234,0.044287,0.033284,0.007958
8 Sep 2021 04:09:00.000,17.141,-125.859,1001.844962,0.043878,0.034267,0.009168
8 Sep 2021 04:10:00.000,19.761,-123.769,1002.428430,0.043385,0.035446,0.010246
8 Sep 2021 04:11:00.000,22.349,-121.603,1003.072255,0.042799,0.036834,0.011176
8 Sep 2021 04:12:00.000,24.899,-119.347,1003.767194,0.042111,0.038446,0.011946
8 Sep 2021 04:13:00.000,27.403,-116.987,1004.503279,0.041308,0.040298,0.012545
8 Sep 2021 04:14:00.000,29.856,-114.508,1005.269960,0.040378,0.042408,0.012964
8 Sep 2021 04:15:00.000,32.249,-111.894,1006.056257,0.039305,0.044790,0.013198
8 Sep 2021 04:16:00.000,34.572,-109.128,1006.850919,0.038070,0.047459,0.013243
8 Sep 2021 04:17:00.000,36.816,-106.194,1007.642587,0.036654,0.050426,0.013098
8 Sep 2021 04:18:00.000,38.970,-103.072,1008.419955,0.035033,0.053691,0.012767
8 Sep 2021 04:19:00.000,41.019,-99.746,1009.171931,0.033185,0.057246,0.012253
8 Sep 2021 04:20:00.000,42.949,-96.198,1009.887793,0.031084,0.061061,0.011565
8 Sep 2021 04:21:00.000,44.745,-92.415,1010.557346,0.028706,0.065087,0.010713
8 Sep 2021 04:22:00.000,46.390,-88.385,1011.171059,0.026031,0.069240,0.009707
8 Sep 2021 04:23:00.000,47.865,-84.105,1011.720204,0.023044,0.073404,0.008564
