"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
8 Sep 2021 04:00:00.000,10.661,95.967,1000.726555,0.044736,0.032194,0.006029
8 Sep 2021 04:01:00.000,13.338,97.918,1001.130054,0.044439,0.032915,0.007397
8 Sep 2021 04:02:00.000,15.995,99.918,1001.612570,0.044066,0.033817,0.008658
8 Sep 2021 04:03:00.000,18.627,101.978,1002.167166,0.043610,0.034909,0.009795
8 Sep 2021 04:04:00.000,21.230,104.109,1002.785872,0.043066,0.036205,0.010791
8 Sep 2021 04:05:00.000,23.797,106.324,1003.459803,0.042423,0.037718,0.011632
8 Sep 2021 04:06:00.000,26.322,108.638,1004.179289,0.041672,0.039464,0.012307
8 Sep 2021 04:07:00.000,28.798,111.063,1004.934012,0.040799,0.041459,0.012805
8 Sep 2021 04:08:00.000,31.218,113.616,1005.713161,0.039790,0.043721,0.013120
8 Sep 2021 04:09:00.000,33.573,116.314,1006.505584,0.038627,0.046264,0.013247
8 Sep 2021 04:10:00.000,35.853,119.173,1007.299948,0.037293,0.049101,0.013184
8 Sep 2021 04:11:00.000,38.047,122.211,1008.084904,0.035764,0.052237,0.012934
8 Sep 2021 04:12:00.000,40.143,125.446,1008.849247,0.034017,0.055668,0.012498
8 Sep 2021 04:13:00.000,42.126,128.896,1009.582076,0.032029,0.059375,0.011885
8 Sep 2021 04:14:00.000,43.983,132.576,1010.272949,0.029773,0.063318,0.011102
8 Sep 2021 04:15:00.000,45.696,136.497,1010.912029,0.027230,0.067428,0.010162
8 Sep 2021 04:16:00.000,47.247,140.669,1011.490225,0.024380,0.071604,0.009077
8 Sep 2021 04:17:00.000,48.617,145.089,1011.999315,0.021215,0.075706,0.007862
8 Sep 2021 04:18:00.000,49.788,149.749,1012.432067,0.017739,0.079561,0.006537
8 Sep 2021 04:19:00.000,50.741,154.628,1012.782335,0.013972,0.082965,0.005118
8 Sep 2021 04:20:00.000,51.460,159.693,1013.045148,0.009953,0.085706,0.003627
8 Sep 2021 04:21:00.000,51.932,164.898,1013.216776,0.005741,0.087592,0.002084
8 Sep 2021 04:22:00.000,52.147,170.186,1013.294786,0.001412,0.088476,0.000512
8 Sep 2021 04:23:00.000,52.101,175.495,1013.278069,-0.002946,0.088285,-0.001068
8 Sep 2021 04:24:00.000,51.795,-179.239,1013.166864,-0.007243,0.087036,-0.002632
8 Sep 2021 04:25:00.000,51.234,-174.078,1012.962748,-0.011395,0.084828,-0.004159
8 Sep 2021 04:26:00.000,50.431,-169.074,1012.668617,-0.015331,0.081830,-0.005627
8 Sep 2021 04:27:00.000,49.399,-164.269,1012.288644,-0.018999,0.078243,-0.007016
8 Sep 2021 04:28:00.000,48.156,-159.692,1011.828223,-0.022367,0.074279,-0.008304
8 Sep 2021 04:29:00.000,46.719,-155.358,1011.293895,-0.025420,0.070132,-0.009475
8 Sep 2021 04:30:00.000,45.110,-151.276,1010.693252,-0.028160,0.065965,-0.010511
8 Sep 2021 04:31:00.000,43.344,-147.440,1010.034837,-0.030600,0.061905,-0.011397
8 Sep 2021 04:32:00.000,41.441,-143.843,1009.328017,-0.032759,0.058039,-0.012121
8 Sep 2021 04:33:00.000,39.416,-140.471,1008.582861,-0.034659,0.054426,-0.012672
8 Sep 2021 04:34:00.000,37.284,-137.307,1007.809989,-0.036326,0.051098,-0.013043
8 Sep 2021 04:35:00.000,35.058,-134.334,1007.020427,-0.037784,0.048067,-0.013228
8 Sep 2021 04:36:00.000,32.751,-131.534,1006.225450,-0.039056,0.045335,-0.013223
8 Sep 2021 04:37:00.000,30.372,-128.890,1005.436419,-0.040162,0.042892,-0.013030
8 Sep 2021 04:38:00.000,27.931,-126.383,1004.664621,-0.041121,0.040726,-0.012650
8 Sep 2021 04:39:00.000,25.437,-123.999,1003.921108,-0.041950,0.038821,-0.012089
8 Sep 2021 04:40:00.000,22.896,-121.722,1003.216533,-0.042662,0.037159,-0.011354
8 Sep 2021 04:41:00.000,20.316,-119.538,1002.561002,-0.043269,0.035724,-0.010457
8 Sep 2021 04:42:00.000,17.703,-117.433,1001.963925,-0.043781,0.034502,-0.009409
8 Sep 2021 04:43:00.000,15.061,-115.396,1001.433878,-0.044206,0.033478,-0.008227
8 Sep 2021 04:44:00.000,12.396,-113.414,1000.978480,-0.044552,0.032641,-0.006926
8 Sep 2021 04:45:00.000,9.713,-111.477,1000.604280,-0.044824,0.031981,-0.005525
8 Sep 2021 04:46:00.000,7.015,-109.575,1000.316662,-0.045025,0.031489,-0.004045
8 Sep 2021 04:47:00.000,4.308,-107.698,1000.119766,-0.045160,0.031160,-0.002506
8 Sep 2021 04:48:00.000,1.594,-105.836,1000.016428,-0.045229,0.030990,-0.000932
8 Sep 2021 04:49:00.000,-1.122,-103.979,1000.008135,-0.045235,0.030976,0.000656
8 Sep 2021 04:50:00.000,-3.836,-102.118,1000.095006,-0.045176,0.031119,0.002234
8 Sep 2021 04:51:00.000,-6.545,-100.244,1000.275792,-0.045053,0.031420,0.003781
8 Sep 2021 04:52:00.000,-9.245,-98.347,1000.547887,-0.044864,0.031883,0.005273
8 Sep 2021 04:53:00.000,-11.931,-96.417,1000.907377,-0.044605,0.032514,0.006689
8 Sep 2021 04:54:00.000,-14.599,-94.444,1001.349088,-0.044272,0.033319,0.008008
8 Sep 2021 04:55:00.000,-17.245,-92.417,1001.866667,-0.043861,0.034310,0.009213
8 Sep 2021 04:56:00.000,-19.864,-90.325,1002.452673,-0.043364,0.035497,0.010285
8 Sep 2021 04:57:00.000,-22.450,-88.155,1003.098688,-0.042774,0.036893,0.011210
8 Sep 2021 04:58:00.000,-24.998,-85.895,1003.795439,-0.042082,0.038514,0.011973
8 Sep 2021 04:59:00.000,-27.501,-83.531,1004.532930,-0.041274,0.040376,0.012565
8 Sep 2021 05:00:00.000,-29.951,-81.047,1005.300592,-0.040339,0.042496,0.012977
8 Sep 2021 05:01:00.000,-32.342,-78.427,1006.087431,-0.039260,0.044889,0.013203
