"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
8 Sep 2021 04:00:00.000,14.172,143.871,1001.272966,0.044330,0.033178,0.007804
8 Sep 2021 04:01:00.000,16.822,145.889,1001.778852,0.043932,0.034138,0.009028
8 Sep 2021 04:02:00.000,19.446,147.969,1002.354428,0.043450,0.035293,0.010123
8 Sep 2021 04:03:00.000,22.038,150.126,1002.991423,0.042876,0.036655,0.011072
8 Sep 2021 04:04:00.000,24.592,152.370,1003.680694,0.042200,0.038239,0.011862
8 Sep 2021 04:05:00.000,27.103,154.717,1004.412350,0.041412,0.040061,0.012482
8 Sep 2021 04:06:00.000,29.562,157.181,1005.175905,0.040498,0.042138,0.012923
8 Sep 2021 04:07:00.000,31.963,159.777,1005.960422,0.039443,0.044487,0.013180
8 Sep 2021 04:08:00.000,34.295,162.524,1006.754675,0.038229,0.047121,0.013247
8 Sep 2021 04:09:00.000,36.549,165.437,1007.547310,0.036836,0.050051,0.013126
8 Sep 2021 04:10:00.000,38.714,168.535,1008.327004,0.035241,0.053280,0.012817
8 Sep 2021 04:11:00.000,40.777,171.835,1009.082632,0.033422,0.056801,0.012325
8 Sep 2021 04:12:00.000,42.722,175.355,1009.803419,0.031352,0.060587,0.011658
8 Sep 2021 04:13:00.000,44.536,179.110,1010.479099,0.029009,0.064591,0.010824
8 Sep 2021 04:14:00.000,46.200,-176.891,1011.100051,0.026371,0.068734,0.009837
8 Sep 2021 04:15:00.000,47.696,-172.641,1011.657445,0.023423,0.072904,0.008709
8 Sep 2021 04:16:00.000,49.006,-168.144,1012.143358,0.020159,0.076949,0.007458
8 Sep 2021 04:17:00.000,50.110,-163.412,1012.550886,0.016589,0.080685,0.006101
8 Sep 2021 04:18:00.000,50.992,-158.471,1012.874244,0.012738,0.083904,0.004658
8 Sep 2021 04:19:00.000,51.635,-153.357,1013.108843,0.008651,0.086397,0.003148
8 Sep 2021 04:20:00.000,52.027,-148.120,1013.251353,0.004394,0.087982,0.001594
8 Sep 2021 04:21:00.000,52.161,-142.818,1013.299753,0.000046,0.088532,0.000017
8 Sep 2021 04:22:00.000,52.033,-137.516,1013.253358,-0.004302,0.088004,-0.001560
8 Sep 2021 04:23:00.000,51.646,-132.277,1013.112825,-0.008563,0.086441,-0.003116
8 Sep 2021 04:24:00.000,51.008,-127.159,1012.880147,-0.012654,0.083965,-0.004626
8 Sep 2021 04:25:00.000,50.131,-122.214,1012.558625,-0.016510,0.080760,-0.006072
8 Sep 2021 04:26:00.000,49.031,-117.477,1012.152824,-0.020087,0.077032,-0.007431
8 Sep 2021 04:27:00.000,47.726,-112.975,1011.668503,-0.023357,0.072991,-0.008684
8 Sep 2021 04:28:00.000,46.233,-108.720,1011.112544,-0.026311,0.068823,-0.009814
8 Sep 2021 04:29:00.000,44.573,-104.716,1010.492849,-0.028956,0.064677,-0.010805
8 Sep 2021 04:30:00.000,42.762,-100.956,1009.818232,-0.031305,0.060670,-0.011642
8 Sep 2021 04:31:00.000,40.819,-97.431,1009.098296,-0.033380,0.056878,-0.012313
8 Sep 2021 04:32:00.000,38.759,-94.126,1008.343295,-0.035205,0.053352,-0.012808
8 Sep 2021 04:33:00.000,36.596,-91.024,1007.563996,-0.036804,0.050116,-0.013121
8 Sep 2021 04:34:00.000,34.344,-88.107,1006.771519,-0.038201,0.047180,-0.013247
8 Sep 2021 04:35:00.000,32.013,-85.358,1005.977182,-0.039419,0.044539,-0.013183
8 Sep 2021 04:36:00.000,29.614,-82.758,1005.192342,-0.040477,0.042185,-0.012931
8 Sep 2021 04:37:00.000,27.155,-80.292,1004.428228,-0.041394,0.040102,-0.012493
8 Sep 2021 04:38:00.000,24.646,-77.943,1003.695786,-0.042185,0.038275,-0.011877
8 Sep 2021 04:39:00.000,22.092,-75.696,1003.005513,-0.042862,0.036686,-0.011090
