"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
8 Sep 2021 04:00:00.000,-42.378,42.692,1009.675624,-0.031747,0.059882,0.011791
8 Sep 2021 04:01:00.000,-44.217,46.403,1010.360227,-0.029456,0.063851,0.010987
8 Sep 2021 04:02:00.000,-45.909,50.358,1010.991796,-0.026872,0.067976,0.010027
8 Sep 2021 04:03:00.000,-47.438,54.562,1011.561346,-0.023981,0.072151,0.008924
8 Sep 2021 04:04:00.000,-48.783,59.015,1012.060779,-0.020775,0.076232,0.007694
8 Sep 2021 04:05:00.000,-49.926,63.705,1012.483002,-0.017259,0.080039,0.006355
8 Sep 2021 04:06:00.000,-50.849,68.611,1012.822017,-0.013456,0.083368,0.004925
8 Sep 2021 04:07:00.000,-51.537,73.697,1013.073014,-0.009408,0.086007,0.003426
8 Sep 2021 04:08:00.000,-51.975,78.916,1013.232431,-0.005176,0.087768,0.001878
8 Sep 2021 04:09:00.000,-52.156,84.210,1013.298007,-0.000838,0.088512,0.000304
8 Sep 2021 04:10:00.000,-52.076,89.517,1013.268812,0.003517,0.088180,-0.001275
8 Sep 2021 04:11:00.000,-51.735,94.773,1013.145259,0.007800,0.086797,-0.002836
8 Sep 2021 04:12:00.000,-51.142,99.916,1012.929102,0.011927,0.084475,-0.004356
8 Sep 2021 04:13:00.000,-50.308,104.896,1012.623407,0.015830,0.081387,-0.005815
8 Sep 2021 04:14:00.000,-49.247,109.672,1012.232512,0.019460,0.077738,-0.007191
8 Sep 2021 04:15:00.000,-47.977,114.218,1011.761966,0.022786,0.073740,-0.008465
8 Sep 2021 04:16:00.000,-46.517,118.519,1011.218454,0.025798,0.069582,-0.009619
8 Sep 2021 04:17:00.000,-44.886,122.569,1010.609700,0.028498,0.065423,-0.010636
8 Sep 2021 04:18:00.000,-43.101,126.372,1009.944362,0.030900,0.061383,-0.011502
8 Sep 2021 04:19:00.000,-41.181,129.939,1009.231908,0.033023,0.057548,-0.012204
8 Sep 2021 04:20:00.000,-39.141,133.282,1008.482487,0.034891,0.053971,-0.012732
8 Sep 2021 04:21:00.000,-36.996,136.420,1007.706781,0.036530,0.050682,-0.013078
8 Sep 2021 04:22:00.000,-34.759,139.369,1006.915859,0.037962,0.047691,-0.013238
8 Sep 2021 04:23:00.000,-32.441,142.148,1006.121015,0.039210,0.044997,-0.013209
8 Sep 2021 04:24:00.000,-30.054,144.773,1005.333610,0.040296,0.042592,-0.012990
8 Sep 2021 04:25:00.000,-27.606,147.263,1004.564911,0.041237,0.040461,-0.012586
8 Sep 2021 04:26:00.000,-25.105,149.632,1003.825923,0.042050,0.038588,-0.012002
8 Sep 2021 04:27:00.000,-22.559,151.896,1003.127240,0.042747,0.036957,-0.011245
8 Sep 2021 04:28:00.000,-19.974,154.069,1002.478882,0.043341,0.035551,-0.010327
8 Sep 2021 04:29:00.000,-17.357,156.164,1001.890156,0.043841,0.034356,-0.009261
8 Sep 2021 04:30:00.000,-14.712,158.194,1001.369521,0.044256,0.033357,-0.008062
8 Sep 2021 04:31:00.000,-12.044,160.169,1000.924460,0.044592,0.032544,-0.006747
