"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
8 Sep 2021 04:00:00.000,24.439,-71.771,1003.637675,0.042244,0.038136,0.011819
8 Sep 2021 04:01:00.000,26.952,-69.430,1004.367060,0.041463,0.039944,0.012450
8 Sep 2021 04:02:00.000,29.415,-66.974,1005.128991,0.040557,0.042005,0.012902
8 Sep 2021 04:03:00.000,31.819,-64.386,1005.912556,0.039511,0.044336,0.013169
8 Sep 2021 04:04:00.000,34.156,-61.650,1006.706543,0.038307,0.046953,0.013249
8 Sep 2021 04:05:00.000,36.415,-58.747,1007.499598,0.036926,0.049865,0.013139
8 Sep 2021 04:06:00.000,38.586,-55.661,1008.280395,0.035344,0.053077,0.012841
8 Sep 2021 04:07:00.000,40.655,-52.373,1009.037790,0.033539,0.056580,0.012360
8 Sep 2021 04:08:00.000,42.608,-48.866,1009.760983,0.031485,0.060351,0.011703
8 Sep 2021 04:09:00.000,44.430,-45.127,1010.439673,0.029159,0.064344,0.010879
8 Sep 2021 04:10:00.000,46.104,-41.142,1011.064197,0.026539,0.068481,0.009901
8 Sep 2021 04:11:00.000,47.610,-36.908,1011.625672,0.023610,0.072653,0.008781
8 Sep 2021 04:12:00.000,48.932,-32.425,1012.116117,0.020366,0.076711,0.007537
8 Sep 2021 04:13:00.000,50.050,-27.707,1012.528565,0.016813,0.080472,0.006186
8 Sep 2021 04:14:00.000,50.945,-22.778,1012.857159,0.012978,0.083728,0.004747
8 Sep 2021 04:15:00.000,51.603,-17.673,1013.097237,0.008904,0.086270,0.003241
8 Sep 2021 04:16:00.000,52.011,-12.442,1013.245390,0.004655,0.087914,0.001689
8 Sep 2021 04:17:00.000,52.160,-7.142,1013.299519,0.000310,0.088530,0.000112
8 Sep 2021 04:18:00.000,52.048,-1.838,1013.258855,-0.004041,0.088067,-0.001465
8 Sep 2021 04:19:00.000,51.677,3.407,1013.123975,-0.008309,0.086563,-0.003022
8 Sep 2021 04:20:00.000,51.054,8.533,1012.896792,-0.012412,0.084138,-0.004537
8 Sep 2021 04:21:00.000,50.191,13.490,1012.580530,-0.016284,0.080971,-0.005986
8 Sep 2021 04:22:00.000,49.104,18.240,1012.179676,-0.019879,0.077269,-0.007351
8 Sep 2021 04:23:00.000,47.810,22.757,1011.699923,-0.023168,0.073241,-0.008612
8 Sep 2021 04:24:00.000,46.328,27.027,1011.148084,-0.026142,0.069076,-0.009750
8 Sep 2021 04:25:00.000,44.677,31.047,1010.532004,-0.028805,0.064925,-0.010749
8 Sep 2021 04:26:00.000,42.876,34.821,1009.860445,-0.031171,0.060907,-0.011596
8 Sep 2021 04:27:00.000,40.940,38.360,1009.142965,-0.033262,0.057101,-0.012277
8 Sep 2021 04:28:00.000,38.887,41.678,1008.389785,-0.035101,0.053557,-0.012783
8 Sep 2021 04:29:00.000,36.730,44.791,1007.611643,-0.036713,0.050304,-0.013108
8 Sep 2021 04:30:00.000,34.482,47.719,1006.819642,-0.038122,0.047349,-0.013245
8 Sep 2021 04:31:00.000,32.156,50.478,1006.025095,-0.039350,0.044691,-0.013192
8 Sep 2021 04:32:00.000,29.761,53.086,1005.239358,-0.040417,0.042320,-0.012951
8 Sep 2021 04:33:00.000,27.306,55.560,1004.473676,-0.041342,0.040221,-0.012525
8 Sep 2021 04:34:00.000,24.799,57.916,1003.739014,-0.042140,0.038378,-0.011919
8 Sep 2021 04:35:00.000,22.248,60.168,1003.045901,-0.042824,0.036775,-0.011142
8 Sep 2021 04:36:00.000,19.659,62.331,1002.404280,-0.043407,0.035396,-0.010206
8 Sep 2021 04:37:00.000,17.038,64.418,1001.823364,-0.043896,0.034225,-0.009123
8 Sep 2021 04:38:00.000,14.390,66.440,1001.311498,-0.044301,0.033249,-0.007908
8 Sep 2021 04:39:00.000,11.720,68.409,1000.876041,-0.044628,0.032458,-0.006580
8 Sep 2021 04:40:00.000,9.033,70.336,1000.523255,-0.044881,0.031841,-0.005158
8 Sep 2021 04:41:00.000,6.332,72.231,1000.258217,-0.045065,0.031391,-0.003661
8 Sep 2021 04:42:00.000,3.623,74.104,1000.084743,-0.045183,0.031102,-0.002111
8 Sep 2021 04:43:00.000,0.908,75.964,1000.005331,-0.045237,0.030972,-0.000531
8 Sep 2021 04:44:00.000,-1.808,77.821,1000.021124,-0.045226,0.030997,0.001057
8 Sep 2021 04:45:00.000,-4.521,79.684,1000.131894,-0.045151,0.031180,0.002629
8 Sep 2021 04:46:00.000,-7.228,81.563,1000.336047,-0.045012,0.031522,0.004164
8 Sep 2021 04:47:00.000,-9.925,83.468,1000.630644,-0.044805,0.032026,0.005638
8 Sep 2021 04:48:00.000,-12.607,85.407,1001.011443,-0.044528,0.032700,0.007032
8 Sep 2021 04:49:00.000,-15.270,87.393,1001.472966,-0.044176,0.033552,0.008324
8 Sep 2021 04:50:00.000,-17.909,89.435,1002.008575,-0.043744,0.034591,0.009497
8 Sep 2021 04:51:00.000,-20.521,91.546,1002.610573,-0.043224,0.035829,0.010533
8 Sep 2021 04:52:00.000,-23.098,93.737,1003.270313,-0.042610,0.037281,0.011418
8 Sep 2021 04:53:00.000,-25.635,96.022,1003.978326,-0.041889,0.038961,0.012139
8 Sep 2021 04:54:00.000,-28.125,98.415,1004.724457,-0.041051,0.040887,0.012686
8 Sep 2021 04:55:00.000,-30.561,100.932,1005.498015,-0.040080,0.043074,0.013052
8 Sep 2021 04:56:00.000,-32.935,103.588,1006.287925,-0.038962,0.045539,0.013231
8 Sep 2021 04:57:00.000,-35.236,106.401,1007.082888,-0.037676,0.048295,0.013220
8 Sep 2021 04:58:00.000,-37.455,109.388,1007.871543,-0.036203,0.051349,0.013021
8 Sep 2021 04:59:00.000,-39.579,112.568,1008.642630,-0.034518,0.054700,0.012636
8 Sep 2021 05:00:00.000,-41.595,115.957,1009.385149,-0.032599,0.058335,0.012070
8 Sep 2021 05:01:00.000,-43.488,119.573,1010.088516,-0.030419,0.062218,0.011333
8 Sep 2021 05:02:00.000,-45.242,123.427,1010.742717,-0.027956,0.066291,0.010434
8 Sep 2021 05:03:00.000,-46.839,127.530,1011.338440,-0.025191,0.070461,0.009387
8 Sep 2021 05:04:00.000,-48.261,131.882,1011.867216,-0.022113,0.074600,0.008207
8 Sep 2021 05:05:00.000,-49.488,136.478,1012.321530,-0.018721,0.078541,0.006910
8 Sep 2021 05:06:00.000,-50.503,141.300,1012.694930,-0.015030,0.082090,0.005514
8 Sep 2021 05:07:00.000,-51.287,146.318,1012.982115,-0.011075,0.085033,0.004041
8 Sep 2021 05:08:00.000,-51.828,151.490,1013.179009,-0.006909,0.087170,0.002510
8 Sep 2021 05:09:00.000,-52.114,156.761,1013.282820,-0.002604,0.088339,0.000944
8 Sep 2021 05:10:00.000,-52.140,162.071,1013.292075,0.001755,0.088445,-0.000636
8 Sep 2021 05:11:00.000,-51.904,167.355,1013.206643,0.006077,0.087479,-0.002207
8 Sep 2021 05:12:00.000,-51.412,172.550,1013.027736,0.010277,0.085519,-0.003746
8 Sep 2021 05:13:00.000,-50.674,177.602,1012.757891,0.014278,0.082718,-0.005232
8 Sep 2021 05:14:00.000,-49.703,-177.535,1012.400938,0.018023,0.079271,-0.006644
8 Sep 2021 05:15:00.000,-48.516,-172.893,1011.961943,0.021475,0.075390,-0.007962
8 Sep 2021 05:16:00.000,-47.131,-168.492,1011.447140,0.024615,0.071276,-0.009167
8 Sep 2021 05:17:00.000,-45.567,-164.341,1010.863845,0.027441,0.067100,-0.010241
8 Sep 2021 05:18:00.000,-43.842,-160.438,1010.220350,0.029961,0.063000,-0.011170
8 Sep 2021 05:19:00.000,-41.975,-156.777,1009.525811,0.032194,0.059074,-0.011940
8 Sep 2021 05:20:00.000,-39.982,-153.345,1008.790117,0.034163,0.055388,-0.012539
8 Sep 2021 05:21:00.000,-37.877,-150.126,1008.023752,0.035891,0.051980,-0.012960
8 Sep 2021 05:22:00.000,-35.676,-147.102,1007.237647,0.037404,0.048867,-0.013196
8 Sep 2021 05:23:00.000,-33.390,-144.257,1006.443024,0.038725,0.046054,-0.013243
8 Sep 2021 05:24:00.000,-31.030,-141.571,1005.651236,0.039874,0.043533,-0.013102
8 Sep 2021 05:25:00.000,-28.605,-139.029,1004.873608,0.040872,0.041293,-0.012772
8 Sep 2021 05:26:00.000,-26.125,-136.613,1004.121271,0.041735,0.039318,-0.012260
8 Sep 2021 05:27:00.000,-23.596,-134.308,1003.405003,0.042478,0.037590,-0.011572
8 Sep 2021 05:28:00.000,-21.026,-132.099,1002.735075,0.043112,0.036095,-0.010718
8 Sep 2021 05:29:00.000,-18.421,-129.974,1002.121102,0.043649,0.034816,-0.009710
8 Sep 2021 05:30:00.000,-15.787,-127.919,1001.571900,0.044098,0.033739,-0.008563
8 Sep 2021 05:31:00.000,-13.128,-125.924,1001.095363,0.044465,0.032852,-0.007293
8 Sep 2021 05:32:00.000,-10.449,-123.976,1000.698343,0.044757,0.032144,-0.005917
8 Sep 2021 05:33:00.000,-7.755,-122.065,1000.386551,0.044977,0.031607,-0.004457
8 Sep 2021 05:34:00.000,-5.050,-120.182,1000.164475,0.045129,0.031234,-0.002932
8 Sep 2021 05:35:00.000,-2.338,-118.316,1000.035313,0.045217,0.031021,-0.001365
8 Sep 2021 05:36:00.000,0.378,-116.459,1000.000924,0.045240,0.030964,0.000221
8 Sep 2021 05:37:00.000,3.093,-114.600,1000.061804,0.045199,0.031064,0.001804
8 Sep 2021 05:38:00.000,5.804,-112.731,1000.217075,0.045094,0.031322,0.003362
8 Sep 2021 05:39:00.000,8.507,-110.841,1000.464503,0.044922,0.031740,0.004871
8 Sep 2021 05:40:00.000,11.197,-108.921,1000.800524,0.044683,0.032324,0.006310
8 Sep 2021 05:41:00.000,13.870,-106.961,1001.220304,0.044371,0.033081,0.007658
8 Sep 2021 05:42:00.000,16.523,-104.950,1001.717804,0.043982,0.034020,0.008895
8 Sep 2021 05:43:00.000,19.150,-102.877,1002.285871,0.043509,0.035151,0.010006
8 Sep 2021 05:44:00.000,21.745,-100.730,1002.916342,0.042946,0.036489,0.010972
8 Sep 2021 05:45:00.000,24.304,-98.496,1003.600166,0.042282,0.038047,0.011781
8 Sep 2021 05:46:00.000,26.820,-96.161,1004.327531,0.041508,0.039842,0.012421
8 Sep 2021 05:47:00.000,29.286,-93.712,1005.088009,0.040609,0.041889,0.012883
8 Sep 2021 05:48:00.000,31.694,-91.131,1005.870708,0.039570,0.044206,0.013160
8 Sep 2021 05:49:00.000,34.034,-88.403,1006.664427,0.038375,0.046807,0.013249
8 Sep 2021 05:50:00.000,36.298,-85.509,1007.457817,0.037003,0.049703,0.013149
8 Sep 2021 05:51:00.000,38.473,-82.433,1008.239544,0.035433,0.052899,0.012861
8 Sep 2021 05:52:00.000,40.548,-79.156,1008.998453,0.033640,0.056387,0.012390
8 Sep 2021 05:53:00.000,42.508,-75.662,1009.723720,0.031600,0.060145,0.011742
8 Sep 2021 05:54:00.000,44.337,-71.935,1010.405015,0.029289,0.064128,0.010927
8 Sep 2021 05:55:00.000,46.019,-67.964,1011.032637,0.026685,0.068260,0.009956
8 Sep 2021 05:56:00.000,47.535,-63.742,1011.597659,0.023773,0.072434,0.008844
8 Sep 2021 05:57:00.000,48.867,-59.273,1012.092049,0.020545,0.076502,0.007606
8 Sep 2021 05:58:00.000,49.996,-54.567,1012.508783,0.017009,0.080283,0.006260
8 Sep 2021 05:59:00.000,50.904,-49.648,1012.841945,0.013188,0.083572,0.004825
8 Sep 2021 06:00:00.000,51.575,-44.551,1013.086806,0.009125,0.086157,0.003322
8 Sep 2021 06:01:00.000,51.996,-39.325,1013.239891,0.004883,0.087852,0.001772
8 Sep 2021 06:02:00.000,52.159,-34.027,1013.299029,0.000541,0.088524,0.000196
8 Sep 2021 06:03:00.000,52.061,-28.722,1013.263381,-0.003812,0.088118,-0.001382
8 Sep 2021 06:04:00.000,51.703,-23.472,1013.133453,-0.008086,0.086667,-0.002941
8 Sep 2021 06:05:00.000,51.093,-18.339,1012.911088,-0.012200,0.084287,-0.004458
8 Sep 2021 06:06:00.000,50.242,-13.372,1012.599440,-0.016086,0.081154,-0.005912
8 Sep 2021 06:07:00.000,49.167,-8.610,1012.202933,-0.019696,0.077475,-0.007281
8 Sep 2021 06:08:00.000,47.884,-4.080,1011.727196,-0.023002,0.073460,-0.008548
8 Sep 2021 06:09:00.000,46.411,0.203,1011.178986,-0.025992,0.069297,-0.009693
8 Sep 2021 06:10:00.000,44.769,4.236,1010.566095,-0.028671,0.065143,-0.010700
8 Sep 2021 06:11:00.000,42.975,8.023,1009.897240,-0.031053,0.061115,-0.011555
8 Sep 2021 06:12:00.000,41.046,11.574,1009.181940,-0.033158,0.057296,-0.012245
8 Sep 2021 06:13:00.000,38.998,14.903,1008.430385,-0.035010,0.053738,-0.012761
8 Sep 2021 06:14:00.000,36.846,18.027,1007.653289,-0.036633,0.050468,-0.013095
8 Sep 2021 06:15:00.000,34.603,20.964,1006.861740,-0.038052,0.047498,-0.013242
8 Sep 2021 06:16:00.000,32.281,23.732,1006.067042,-0.039289,0.044824,-0.013200
8 Sep 2021 06:17:00.000,29.889,26.347,1005.280556,-0.040365,0.042438,-0.012969
8 Sep 2021 06:18:00.000,27.437,28.828,1004.513534,-0.041297,0.040325,-0.012552
8 Sep 2021 06:19:00.000,24.933,31.190,1003.776960,-0.042101,0.038470,-0.011956
8 Sep 2021 06:20:00.000,22.384,33.447,1003.081392,-0.042791,0.036855,-0.011188
8 Sep 2021 06:21:00.000,19.797,35.615,1002.436808,-0.043378,0.035464,-0.010259
8 Sep 2021 06:22:00.000,17.177,37.705,1001.852460,-0.043872,0.034282,-0.009183
8 Sep 2021 06:23:00.000,14.531,39.730,1001.336745,-0.044282,0.033296,-0.007976
8 Sep 2021 06:24:00.000,11.862,41.702,1000.897074,-0.044612,0.032495,-0.006653
8 Sep 2021 06:25:00.000,9.175,43.631,1000.539773,-0.044869,0.031869,-0.005235
8 Sep 2021 06:26:00.000,6.475,45.527,1000.269983,-0.045057,0.031410,-0.003742
8 Sep 2021 06:27:00.000,3.766,47.401,1000.091586,-0.045179,0.031113,-0.002194
8 Sep 2021 06:28:00.000,1.052,49.262,1000.007153,-0.045235,0.030975,-0.000615
8 Sep 2021 06:29:00.000,-1.664,51.118,1000.017899,-0.045228,0.030992,0.000973
8 Sep 2021 06:30:00.000,-4.378,52.981,1000.123668,-0.045157,0.031166,0.002547
8 Sep 2021 06:31:00.000,-7.085,54.859,1000.322939,-0.045021,0.031499,0.004084
8 Sep 2021 06:32:00.000,-9.782,56.762,1000.612842,-0.044818,0.031995,0.005562
8 Sep 2021 06:33:00.000,-12.465,58.700,1000.989203,-0.044544,0.032660,0.006960
8 Sep 2021 06:34:00.000,-15.129,60.682,1001.446609,-0.044196,0.033502,0.008259
8 Sep 2021 06:35:00.000,-17.770,62.721,1001.978480,-0.043769,0.034531,0.009438
8 Sep 2021 06:36:00.000,-20.383,64.828,1002.577172,-0.043254,0.035758,0.010482
8 Sep 2021 06:37:00.000,-22.962,67.014,1003.234085,-0.042645,0.037199,0.011375
8 Sep 2021 06:38:00.000,-25.502,69.294,1003.939791,-0.041930,0.038867,0.012105
8 Sep 2021 06:39:00.000,-27.995,71.681,1004.684168,-0.041098,0.040779,0.012662
8 Sep 2021 06:40:00.000,-30.434,74.191,1005.456549,-0.040135,0.042952,0.013037
8 Sep 2021 06:41:00.000,-32.811,76.840,1006.245875,-0.039025,0.045401,0.013226
8 Sep 2021 06:42:00.000,-35.116,79.644,1007.040856,-0.037749,0.048141,0.013225
8 Sep 2021 06:43:00.000,-37.340,82.621,1007.830129,-0.036286,0.051179,0.013036
8 Sep 2021 06:44:00.000,-39.469,85.790,1008.602424,-0.034613,0.054515,0.012661
8 Sep 2021 06:45:00.000,-41.491,89.168,1009.346725,-0.032707,0.058135,0.012105
8 Sep 2021 06:46:00.000,-43.391,92.771,1010.052423,-0.030541,0.062007,0.011376
8 Sep 2021 06:47:00.000,-45.153,96.613,1010.709467,-0.028094,0.066072,0.010486
8 Sep 2021 06:48:00.000,-46.759,100.702,1011.308507,-0.025345,0.070240,0.009446
8 Sep 2021 06:49:00.000,-48.190,105.041,1011.841025,-0.022284,0.074384,0.008272
8 Sep 2021 06:50:00.000,-49.428,109.625,1012.299453,-0.018908,0.078341,0.006981
8 Sep 2021 06:51:00.000,-50.454,114.436,1012.677280,-0.015233,0.081915,0.005590
8 Sep 2021 06:52:00.000,-51.252,119.444,1012.969142,-0.011291,0.084896,0.004121
8 Sep 2021 06:53:00.000,-51.806,124.609,1013.170899,-0.007134,0.087080,0.002592
8 Sep 2021 06:54:00.000,-52.106,129.876,1013.279687,-0.002834,0.088303,0.001027
8 Sep 2021 06:55:00.000,-52.145,135.186,1013.293964,0.001524,0.088466,-0.000552
8 Sep 2021 06:56:00.000,-51.923,140.473,1013.213527,0.005851,0.087556,-0.002124
8 Sep 2021 06:57:00.000,-51.445,145.674,1013.039517,0.010059,0.085646,-0.003666
8 Sep 2021 06:58:00.000,-50.719,150.735,1012.774402,0.014072,0.082885,-0.005155
8 Sep 2021 06:59:00.000,-49.760,155.609,1012.421944,0.017832,0.079467,-0.006572
8 Sep 2021 07:00:00.000,-48.584,160.263,1011.987147,0.021300,0.075603,-0.007895
8 Sep 2021 07:01:00.000,-47.209,164.677,1011.476183,0.024457,0.071496,-0.009106
8 Sep 2021 07:02:00.000,-45.654,168.842,1010.896315,0.027299,0.067321,-0.010188
8 Sep 2021 07:03:00.000,-43.937,172.757,1010.255785,0.029835,0.063214,-0.011125
8 Sep 2021 07:04:00.000,-42.077,176.431,1009.563706,0.032083,0.059277,-0.011903
8 Sep 2021 07:05:00.000,-40.090,179.875,1008.829933,0.034065,0.055576,-0.012512
8 Sep 2021 07:06:00.000,-37.991,-176.895,1008.064921,0.035806,0.052153,-0.012942
8 Sep 2021 07:07:00.000,-35.795,-173.862,1007.279582,0.037329,0.049024,-0.013188
8 Sep 2021 07:08:00.000,-33.513,-171.007,1006.485126,0.038659,0.046195,-0.013246
8 Sep 2021 07:09:00.000,-31.156,-168.314,1005.692903,0.039817,0.043659,-0.013114
8 Sep 2021 07:10:00.000,-28.735,-165.764,1004.914244,0.040823,0.041405,-0.012794
8 Sep 2021 07:11:00.000,-26.257,-163.342,1004.160293,0.041692,0.039416,-0.012292
8 Sep 2021 07:12:00.000,-23.731,-161.031,1003.441853,0.042441,0.037676,-0.011613
8 Sep 2021 07:13:00.000,-21.163,-158.818,1002.769224,0.043081,0.036169,-0.010767
8 Sep 2021 07:14:00.000,-18.560,-156.689,1002.152060,0.043623,0.034879,-0.009767
8 Sep 2021 07:15:00.000,-15.927,-154.631,1001.599222,0.044076,0.033792,-0.008627
8 Sep 2021 07:16:00.000,-13.269,-152.632,1001.118656,0.044448,0.032895,-0.007363
8 Sep 2021 07:17:00.000,-10.592,-150.682,1000.717272,0.044743,0.032177,-0.005992
