"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
8 Sep 2021 04:00:00.000,-21.073,59.975,1002.746768,-0.043102,0.036120,0.010735
8 Sep 2021 04:01:00.000,-23.642,62.185,1003.417625,-0.042465,0.037620,0.011586
8 Sep 2021 04:02:00.000,-26.170,64.492,1004.134641,-0.041720,0.039351,0.012271
8 Sep 2021 04:03:00.000,-28.650,66.911,1004.887535,-0.040855,0.041331,0.012780
8 Sep 2021 04:04:00.000,-31.073,69.456,1005.665521,-0.039855,0.043576,0.013106
8 Sep 2021 04:05:00.000,-33.432,72.144,1006.457461,-0.038702,0.046102,0.013244
8 Sep 2021 04:06:00.000,-35.717,74.992,1007.252031,-0.037379,0.048921,0.013193
8 Sep 2021 04:07:00.000,-37.917,78.019,1008.037877,-0.035862,0.052039,0.012954
8 Sep 2021 04:08:00.000,-40.019,81.242,1008.803781,-0.034129,0.055452,0.012530
8 Sep 2021 04:09:00.000,-42.010,84.679,1009.538819,-0.032156,0.059144,0.011927
8 Sep 2021 04:10:00.000,-43.875,88.344,1010.232518,-0.029918,0.063073,0.011154
8 Sep 2021 04:11:00.000,-45.596,92.251,1010.874999,-0.027392,0.067176,0.010223
8 Sep 2021 04:12:00.000,-47.158,96.407,1011.457122,-0.024561,0.071351,0.009146
8 Sep 2021 04:13:00.000,-48.539,100.812,1011.970610,-0.021415,0.075463,0.007939
8 Sep 2021 04:14:00.000,-49.723,105.458,1012.408168,-0.017958,0.079338,0.006620
8 Sep 2021 04:15:00.000,-50.690,110.325,1012.763581,-0.014207,0.082775,0.005206
8 Sep 2021 04:16:00.000,-51.424,115.380,1013.031805,-0.010202,0.085563,0.003719
8 Sep 2021 04:17:00.000,-51.911,120.577,1013.209033,-0.006000,0.087505,0.002178
8 Sep 2021 04:18:00.000,-52.142,125.862,1013.292753,-0.001676,0.088452,0.000607
8 Sep 2021 04:19:00.000,-52.111,131.172,1013.281776,0.002683,0.088327,-0.000972
8 Sep 2021 04:20:00.000,-51.821,136.442,1013.176257,0.006986,0.087140,-0.002538
8 Sep 2021 04:21:00.000,-51.275,141.611,1012.977694,0.011149,0.084986,-0.004068
8 Sep 2021 04:22:00.000,-50.486,146.626,1012.688904,0.015100,0.082030,-0.005541
8 Sep 2021 04:23:00.000,-49.467,151.444,1012.313984,0.018785,0.078473,-0.006934
8 Sep 2021 04:24:00.000,-48.236,156.036,1011.858258,0.022172,0.074526,-0.008229
8 Sep 2021 04:25:00.000,-46.812,160.384,1011.328196,0.025244,0.070385,-0.009407
8 Sep 2021 04:26:00.000,-45.212,164.482,1010.731333,0.028003,0.066216,-0.010452
8 Sep 2021 04:27:00.000,-43.455,168.332,1010.076154,0.030461,0.062146,-0.011348
8 Sep 2021 04:28:00.000,-41.560,171.943,1009.371984,0.032636,0.058266,-0.012082
8 Sep 2021 04:29:00.000,-39.542,175.329,1008.628851,0.034551,0.054637,-0.012644
8 Sep 2021 04:30:00.000,-37.416,178.505,1007.857346,0.036231,0.051291,-0.013026
8 Sep 2021 04:31:00.000,-35.195,-178.511,1007.068475,0.037701,0.048242,-0.013222
8 Sep 2021 04:32:00.000,-32.892,-175.702,1006.273503,0.038984,0.045492,-0.013229
8 Sep 2021 04:33:00.000,-30.518,-173.048,1005.483790,0.040099,0.043032,-0.013047
8 Sep 2021 04:34:00.000,-28.080,-170.534,1004.710632,0.041067,0.040850,-0.012678
8 Sep 2021 04:35:00.000,-25.589,-168.143,1003.965099,0.041903,0.038929,-0.012128
8 Sep 2021 04:36:00.000,-23.051,-165.859,1003.257874,0.042622,0.037253,-0.011403
8 Sep 2021 04:37:00.000,-20.473,-163.670,1002.599101,0.043235,0.035805,-0.010516
8 Sep 2021 04:38:00.000,-17.862,-161.561,1001.998234,0.043752,0.034570,-0.009477
8 Sep 2021 04:39:00.000,-15.222,-159.519,1001.463904,0.044183,0.033535,-0.008302
