"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
8 Sep 2021 04:00:00.000,44.764,-87.052,1010.564154,0.028679,0.065130,0.010703
8 Sep 2021 04:01:00.000,46.407,-83.020,1011.177227,0.026001,0.069284,0.009696
8 Sep 2021 04:02:00.000,47.879,-78.738,1011.725645,0.023011,0.073447,0.008551
8 Sep 2021 04:03:00.000,49.163,-74.209,1012.201612,0.019707,0.077463,0.007285
8 Sep 2021 04:04:00.000,50.240,-69.448,1012.598368,0.016097,0.081143,0.005916
8 Sep 2021 04:05:00.000,51.091,-64.481,1012.910279,0.012212,0.084278,0.004462
8 Sep 2021 04:06:00.000,51.701,-59.348,1013.132919,0.008099,0.086661,0.002946
8 Sep 2021 04:07:00.000,52.060,-54.099,1013.263130,0.003825,0.088115,0.001387
8 Sep 2021 04:08:00.000,52.159,-48.793,1013.299064,-0.000528,0.088525,-0.000191
8 Sep 2021 04:09:00.000,51.997,-43.496,1013.240211,-0.004870,0.087856,-0.001767
8 Sep 2021 04:10:00.000,51.576,-38.269,1013.087408,-0.009112,0.086163,-0.003317
8 Sep 2021 04:11:00.000,50.906,-33.172,1012.842820,-0.013176,0.083581,-0.004821
8 Sep 2021 04:12:00.000,49.999,-28.252,1012.509918,-0.016998,0.080294,-0.006256
8 Sep 2021 04:13:00.000,48.871,-23.546,1012.093428,-0.020535,0.076514,-0.007602
8 Sep 2021 04:14:00.000,47.539,-19.075,1011.599262,-0.023764,0.072446,-0.008840
8 Sep 2021 04:15:00.000,46.024,-14.854,1011.034442,-0.026677,0.068273,-0.009953
8 Sep 2021 04:16:00.000,44.342,-10.882,1010.406996,-0.029282,0.064140,-0.010924
8 Sep 2021 04:17:00.000,42.514,-7.154,1009.725850,-0.031594,0.060157,-0.011740
8 Sep 2021 04:18:00.000,40.554,-3.658,1009.000700,-0.033634,0.056398,-0.012388
8 Sep 2021 04:19:00.000,38.480,-0.381,1008.241877,-0.035428,0.052909,-0.012860
8 Sep 2021 04:20:00.000,36.305,2.696,1007.460202,-0.036999,0.049713,-0.013148
8 Sep 2021 04:21:00.000,34.041,5.589,1006.666831,-0.038371,0.046815,-0.013249
8 Sep 2021 04:22:00.000,31.701,8.318,1005.873096,-0.039567,0.044213,-0.013161
8 Sep 2021 04:23:00.000,29.293,10.899,1005.090346,-0.040606,0.041896,-0.012884
8 Sep 2021 04:24:00.000,26.828,13.349,1004.329784,-0.041505,0.039848,-0.012422
8 Sep 2021 04:25:00.000,24.312,15.684,1003.602303,-0.042280,0.038052,-0.011783
8 Sep 2021 04:26:00.000,21.753,17.918,1002.918333,-0.042944,0.036494,-0.010975
8 Sep 2021 04:27:00.000,19.158,20.066,1002.287686,-0.043507,0.035155,-0.010009
8 Sep 2021 04:28:00.000,16.531,22.139,1001.719418,-0.043980,0.034023,-0.008899
8 Sep 2021 04:29:00.000,13.878,24.150,1001.221694,-0.044370,0.033083,-0.007661
8 Sep 2021 04:30:00.000,11.205,26.110,1000.801669,-0.044682,0.032326,-0.006314
8 Sep 2021 04:31:00.000,8.515,28.030,1000.465387,-0.044922,0.031741,-0.004875
8 Sep 2021 04:32:00.000,5.812,29.920,1000.217685,-0.045093,0.031323,-0.003366
8 Sep 2021 04:33:00.000,3.101,31.790,1000.062131,-0.045199,0.031065,-0.001809
8 Sep 2021 04:34:00.000,0.386,33.649,1000.000965,-0.045240,0.030964,-0.000226
8 Sep 2021 04:35:00.000,-2.329,35.506,1000.035066,-0.045217,0.031020,0.001361
8 Sep 2021 04:36:00.000,-5.042,37.372,1000.163944,-0.045130,0.031233,0.002928
8 Sep 2021 04:37:00.000,-7.747,39.255,1000.385743,-0.044977,0.031606,0.004452
8 Sep 2021 04:38:00.000,-10.441,41.165,1000.697270,-0.044757,0.032142,0.005913
8 Sep 2021 04:39:00.000,-13.120,43.113,1001.094041,-0.044466,0.032850,0.007289
8 Sep 2021 04:40:00.000,-15.779,45.108,1001.570347,-0.044099,0.033736,0.008559
8 Sep 2021 04:41:00.000,-18.413,47.163,1002.119341,-0.043651,0.034813,0.009707
8 Sep 2021 04:42:00.000,-21.019,49.288,1002.733131,-0.043114,0.036091,0.010715
8 Sep 2021 04:43:00.000,-23.588,51.496,1003.402904,-0.042480,0.037586,0.011570
8 Sep 2021 04:44:00.000,-26.117,53.801,1004.119047,-0.041737,0.039312,0.012258
8 Sep 2021 04:45:00.000,-28.598,56.217,1004.871291,-0.040875,0.041286,0.012771
8 Sep 2021 04:46:00.000,-31.022,58.759,1005.648860,-0.039878,0.043526,0.013101
8 Sep 2021 04:47:00.000,-33.383,61.444,1006.440622,-0.038729,0.046046,0.013243
8 Sep 2021 04:48:00.000,-35.669,64.289,1007.235253,-0.037409,0.048858,0.013196
8 Sep 2021 04:49:00.000,-37.871,67.312,1008.021401,-0.035896,0.051970,0.012961
8 Sep 2021 04:50:00.000,-39.975,70.530,1008.787842,-0.034169,0.055377,0.012541
8 Sep 2021 04:51:00.000,-41.969,73.962,1009.523645,-0.032201,0.059063,0.011942
8 Sep 2021 04:52:00.000,-43.837,77.622,1010.218323,-0.029968,0.062988,0.011172
8 Sep 2021 04:53:00.000,-45.562,81.524,1010.861987,-0.027449,0.067088,0.010244
8 Sep 2021 04:54:00.000,-47.126,85.674,1011.445477,-0.024624,0.071263,0.009170
8 Sep 2021 04:55:00.000,-48.512,90.075,1011.960498,-0.021485,0.075378,0.007966
8 Sep 2021 04:56:00.000,-49.700,94.716,1012.399732,-0.018034,0.079260,0.006649
8 Sep 2021 04:57:00.000,-50.672,99.578,1012.756942,-0.014290,0.082709,0.005237
8 Sep 2021 04:58:00.000,-51.411,104.629,1013.027056,-0.010289,0.085512,0.003751
8 Sep 2021 04:59:00.000,-51.903,109.825,1013.206243,-0.006090,0.087474,0.002211
8 Sep 2021 05:00:00.000,-52.139,115.108,1013.291960,-0.001768,0.088443,0.000641
8 Sep 2021 05:01:00.000,-52.115,120.418,1013.282991,0.002591,0.088341,-0.000939
8 Sep 2021 05:02:00.000,-51.829,125.690,1013.179464,0.006896,0.087175,-0.002506
8 Sep 2021 05:03:00.000,-51.289,130.861,1012.982847,0.011063,0.085041,-0.004036
8 Sep 2021 05:04:00.000,-50.505,135.880,1012.695930,0.015019,0.082100,-0.005510
8 Sep 2021 05:05:00.000,-49.491,140.703,1012.322783,0.018710,0.078553,-0.006906
8 Sep 2021 05:06:00.000,-48.265,145.300,1011.868705,0.022103,0.074612,-0.008203
8 Sep 2021 05:07:00.000,-46.844,149.653,1011.340143,0.025182,0.070473,-0.009384
8 Sep 2021 05:08:00.000,-45.247,153.756,1010.744609,0.027948,0.066303,-0.010431
8 Sep 2021 05:09:00.000,-43.494,157.611,1010.090572,0.030412,0.062230,-0.011330
8 Sep 2021 05:10:00.000,-41.601,161.227,1009.387338,0.032592,0.058346,-0.012068
8 Sep 2021 05:11:00.000,-39.585,164.618,1008.644922,0.034513,0.054711,-0.012634
8 Sep 2021 05:12:00.000,-37.462,167.798,1007.873905,0.036198,0.051358,-0.013020
8 Sep 2021 05:13:00.000,-35.243,170.786,1007.085286,0.037672,0.048303,-0.013220
8 Sep 2021 05:14:00.000,-32.942,173.599,1006.290325,0.038958,0.045547,-0.013231
8 Sep 2021 05:15:00.000,-30.569,176.256,1005.500383,0.040077,0.043081,-0.013053
