"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
8 Sep 2021 04:00:00.000,-50.181,-161.138,1012.576719,0.016324,0.080934,-0.006001
8 Sep 2021 04:01:00.000,-49.091,-156.390,1012.174998,0.019915,0.077228,-0.007365
8 Sep 2021 04:02:00.000,-47.795,-151.876,1011.694444,0.023201,0.073198,-0.008624
8 Sep 2021 04:03:00.000,-46.312,-147.608,1011.141882,0.026171,0.069031,-0.009761
8 Sep 2021 04:04:00.000,-44.659,-143.591,1010.525167,0.028831,0.064882,-0.010759
8 Sep 2021 04:05:00.000,-42.856,-139.820,1009.853070,0.031195,0.060865,-0.011604
8 Sep 2021 04:06:00.000,-40.919,-136.283,1009.135158,0.033283,0.057062,-0.012283
8 Sep 2021 04:07:00.000,-38.864,-132.968,1008.381656,0.035120,0.053521,-0.012788
8 Sep 2021 04:08:00.000,-36.706,-129.856,1007.603309,0.036729,0.050271,-0.013110
8 Sep 2021 04:09:00.000,-34.458,-126.930,1006.811222,0.038136,0.047319,-0.013245
8 Sep 2021 04:10:00.000,-32.131,-124.173,1006.016708,0.039362,0.044664,-0.013191
8 Sep 2021 04:11:00.000,-29.735,-121.566,1005.231126,0.040428,0.042296,-0.012948
8 Sep 2021 04:12:00.000,-27.279,-119.093,1004.465715,0.041351,0.040200,-0.012519
8 Sep 2021 04:13:00.000,-24.772,-116.739,1003.731438,0.042148,0.038360,-0.011912
8 Sep 2021 04:14:00.000,-22.221,-114.487,1003.038820,0.042831,0.036760,-0.011133
8 Sep 2021 04:15:00.000,-19.631,-112.325,1002.397795,0.043412,0.035382,-0.010195
8 Sep 2021 04:16:00.000,-17.010,-110.239,1001.817569,0.043901,0.034214,-0.009110
8 Sep 2021 04:17:00.000,-14.362,-108.218,1001.306475,0.044305,0.033240,-0.007895
